T	PID	COMM	SADDR	DADDR	SPORT	DPORT	ATTACK	Tiempo
A	1314	TCP	192.168.2.110	69.192.16.80	3993	80	0	1581.003364
A	1315	TCP	192.168.2.110	69.192.16.80	3994	80	0	1581.003459
A	1316	TCP	192.168.2.110	69.84.133.138	3995	80	0	1581.083318
A	1317	TCP	192.168.2.110	69.84.133.138	3996	80	0	1581.093066
A	1318	TCP	192.168.2.110	69.84.133.138	3997	80	0	1581.399903
A	1319	TCP	192.168.2.110	69.84.133.138	3998	80	0	1581.433959
X	1316	TCP	192.168.2.110	69.84.133.138	3995	80	0	1581.441149
X	1317	TCP	192.168.2.110	69.84.133.138	3996	80	0	1581.488122
X	1318	TCP	192.168.2.110	69.84.133.138	3997	80	0	1581.745959
X	1319	TCP	192.168.2.110	69.84.133.138	3998	80	0	1581.79093
A	1320	TCP	192.168.4.120	192.168.5.122	2562	80	0	1582.373571
A	1321	TCP	192.168.4.120	192.168.5.122	2563	80	0	1582.386418
A	1322	TCP	192.168.4.120	68,142,205,137	2564	80	0	1582.415549
A	1323	TCP	192.168.4.120	68,142,205,137	2565	80	0	1582.669484
X	1322	TCP	192.168.4.120	68,142,205,137	2564	80	0	1582.712582
X	1323	TCP	192.168.4.120	68,142,205,137	2565	80	0	1583.311484
A	1324	TCP	192.168.4.120	68,142,205,139	2566	80	0	1583.339451
A	1325	TCP	192.168.4.120	207.241.148.88	2567	80	0	1583.433206
A	1326	TCP	192.168.4.120	207.241.148.80	2568	80	0	1583.586227
A	1327	TCP	192.168.4.120	207.241.148.80	2569	80	0	1583.773156
A	1328	TCP	192.168.4.120	206,123,111,173	2570	80	0	1584.436932
A	1329	TCP	192.168.4.120	174,133,126,130	2571	80	0	1584.873049
A	1330	TCP	192.168.4.120	68,142,205,137	2572	80	0	1585.464281
A	1331	TCP	192.168.4.120	207.210.64.84	2573	80	0	1585.542573
X	1330	TCP	192.168.4.120	68,142,205,137	2572	80	0	1585.667407
A	1332	TCP	192.168.4.120	68,142,205,137	2574	80	0	1585.667704
X	1324	TCP	192.168.4.120	68,142,205,139	2566	80	0	1586.209455
A	1333	TCP	192.168.4.120	68,142,205,139	2575	80	0	1586.325305
X	1332	TCP	192.168.4.120	68,142,205,137	2574	80	0	1586.404285
A	1334	TCP	192.168.4.120	98.137.80.31	2576	80	0	1586.459378
A	1335	TCP	192.168.4.120	69.63.189.16	2577	80	0	1587.228825
A	1336	TCP	192.168.4.120	69.63.189.16	2578	80	0	1587.393469
A	1337	TCP	192.168.4.121	65.54.81.62	51229	80	0	1589.398176
X	1333	TCP	192.168.4.120	68,142,205,139	2575	80	0	1590.250347
A	1338	TCP	192.168.1.104	178.32.87.172	15931	80	0	1590.762714
A	1339	TCP	192.168.1.105	192.168.5.122	16825	110	0	1591.398589
X	1339	TCP	192.168.1.105	192.168.5.122	16825	110	0	1591.413769
A	1340	TCP	192.168.4.120	68,142,205,137	2579	80	0	1594.058076
X	1320	TCP	192.168.4.120	192.168.5.122	2562	80	0	1594.05894
A	1341	TCP	192.168.4.120	192.168.5.122	2580	80	0	1594.058945
X	1321	TCP	192.168.4.120	192.168.5.122	2563	80	0	1594.059231
A	1342	TCP	192.168.4.120	174.121.74.194	2581	80	0	1594.47213
X	1340	TCP	192.168.4.120	68,142,205,137	2579	80	0	1594.556632
A	1343	TCP	192.168.4.121	65.54.81.171	51230	80	0	1604.398146
X	1337	TCP	192.168.4.121	65.54.81.62	51229	80	0	1604.476429
