A;0;SSH;192.168.1.101;192.168.5.122;4175;22;0;0.0;0.0
A;1;HTTP;12.180.55.140;192.168.3.115;80;3816;0;0.012362;0.012362
A;2;TCP;192.168.4.121;192.168.5.122;51061;22;0;0.012789;4.270000000000003E-4
A;3;TCP;82.98.86.183;192.168.4.119;80;4491;0;0.086875;0.074086
A;4;TCP;91,195,240,124;192.168.4.119;80;4490;0;0.087368;4.930000000000073E-4
A;5;TCP;192.168.4.119;213.155.64.209;4489;80;0;0.157604;0.07023599999999999
A;6;TCP;192.168.1.104;192.168.5.122;15837;22;0;0.405788;0.248184
A;7;TCP;192.168.4.121;65.54.81.171;51062;80;0;0.528852;0.123064
A;8;TCP;192.168.4.121;65.54.81.117;51060;80;0;0.634159;0.10530700000000004
X;8;TCP;192.168.4.121;65.54.81.117;51060;80;0;0.66726;0.033100999999999936
A;9;TCP;192.168.2.110;212.227.0.82;3914;80;0;0.966129;0.29886900000000005
A;10;TCP;192.168.2.110;212,227,116,111;3916;80;0;1.153611;0.18748199999999993
A;11;IMAP;192.168.5.122;192.168.1.103;143;1090;0;1.667502;0.5138910000000001
A;12;TCP;192.168.2.110;212,227,116,171;3917;80;0;2.106691;0.43918900000000005
A;13;TCP;192.168.2.110;91,195,240,124;3905;80;0;2.106758;6.700000000003925E-5
A;14;TCP;192.168.3.115;142.166.14.70;3703;80;0;2.196686;0.08992800000000001
X;14;TCP;192.168.3.115;142.166.14.70;3703;80;0;2.21046;0.013773999999999731
A;15;SSH;192.168.5.122;192.168.3.114;22;2672;0;2.631503;0.42104300000000006
X;15;SSH;192.168.5.122;192.168.3.114;22;2672;0;2.770146;0.13864300000000007
A;16;TCP;192.168.3.115;142.166.14.80;3704;80;0;2.837261;0.06711499999999981
X;16;TCP;192.168.3.115;142.166.14.80;3704;80;0;2.846153;0.008892000000000344
A;17;TCP;192.168.3.114;192.168.5.122;2673;22;0;3.145052;0.298899
X;0;SSH;192.168.1.101;192.168.5.122;4175;22;0;5.227222;2.08217
A;18;TCP;192.168.1.101;192.168.5.122;4176;22;0;5.232097;0.004875000000000185
A;19;TCP;192.168.2.110;192.91.247.25;3913;80;0;5.278411;0.046313999999999744
A;20;TCP;192.168.1.104;67.18.99.115;15828;80;0;7.842706;2.5642949999999995
A;21;TCP;192.168.3.115;142.166.14.85;3818;80;0;7.922827;0.08012100000000011
A;22;TCP;124.198.191.30;192.168.4.119;80;4486;0;8.814866;0.8920390000000005
X;17;TCP;192.168.3.114;192.168.5.122;2673;22;0;8.820766;0.00590000000000046
A;23;TCP;192.168.2.110;213.155.64.209;3910;80;0;9.247;0.4262339999999991
X;2;TCP;192.168.4.121;192.168.5.122;51061;22;0;9.262273;0.015273000000000536
A;24;TCP;192.168.4.121;192.168.5.122;51063;22;0;9.356348;0.09407500000000013
A;25;TCP;192.168.2.110;82.98.86.183;3915;80;0;9.715718;0.3593700000000002
A;26;TCP;192.168.2.107;195.86.39.11;2472;80;0;9.785139;0.0694209999999984
A;27;TCP;192.168.2.110;85,183,249,139;3918;443;0;9.872301;0.08716200000000107
X;18;TCP;192.168.1.101;192.168.5.122;4176;22;0;10.521811;0.6495099999999994
A;28;TCP;192.168.1.101;192.168.5.122;4177;22;0;10.522428;6.170000000000897E-4
X;6;TCP;192.168.1.104;192.168.5.122;15837;22;0;11.658277;1.1358490000000003
